trade_date,code,name,source,source_date
2026-08-28,600660,福耀玻璃,akshare,2026-08-29
2026-08-28,600674,川投能源,akshare,2026-08-29
2026-08-28,600690,海尔智家,akshare,2026-08-29
2026-08-28,600741,华域汽车,akshare,2026-08-29
2026-08-28,600760,中航沈飞,akshare,2026-08-29
2026-08-28,600795,国电电力,akshare,2026-08-29
2026-08-28,600803,新奥股份,akshare,2026-08-29
2026-08-28,600809,山西汾酒,akshare,2026-08-29
2026-08-28,600845,宝信软件,akshare,2026-08-29
2026-08-28,600875,东方电气,akshare,2026-08-29
2026-08-28,600886,国投电力,akshare,2026-08-29
2026-08-28,600887,伊利股份,akshare,2026-08-29
2026-08-28,600893,航发动力,akshare,2026-08-29
2026-08-28,600900,长江电力,akshare,2026-08-29
2026-08-28,600905,三峡能源,akshare,2026-08-29
2026-08-28,600918,中泰证券,akshare,2026-08-29
2026-08-28,600919,江苏银行,akshare,2026-08-29
2026-08-28,600926,杭州银行,akshare,2026-08-29
2026-08-28,600930,华电新能,akshare,2026-08-29
2026-08-28,600938,中国海油,akshare,2026-08-29
2026-08-28,600941,中国移动,akshare,2026-08-29
2026-08-28,600958,东方证券,akshare,2026-08-29
2026-08-28,600989,宝丰能源,akshare,2026-08-29
2026-08-28,600999,招商证券,akshare,2026-08-29
2026-08-28,601006,大秦铁路,akshare,2026-08-29
2026-08-28,601009,南京银行,akshare,2026-08-29
2026-08-28,601012,隆基绿能,akshare,2026-08-29
2026-08-28,601018,宁波港,akshare,2026-08-29
2026-08-28,601021,春秋航空,akshare,2026-08-29
2026-08-28,601058,赛轮轮胎,akshare,2026-08-29
2026-08-28,601059,信达证券,akshare,2026-08-29
2026-08-28,601066,中信建投,akshare,2026-08-29
2026-08-28,601077,渝农商行,akshare,2026-08-29
2026-08-28,601088,中国神华,akshare,2026-08-29
2026-08-28,601100,恒立液压,akshare,2026-08-29
2026-08-28,601111,中国国航,akshare,2026-08-29
2026-08-28,601117,中国化学,akshare,2026-08-29
2026-08-28,601127,赛力斯,akshare,2026-08-29
2026-08-28,601136,首创证券,akshare,2026-08-29
2026-08-28,601138,工业富联,akshare,2026-08-29
2026-08-28,601166,兴业银行,akshare,2026-08-29
2026-08-28,601169,北京银行,akshare,2026-08-29
2026-08-28,601186,中国铁建,akshare,2026-08-29
2026-08-28,601211,国泰海通,akshare,2026-08-29
2026-08-28,601225,陕西煤业,akshare,2026-08-29
2026-08-28,601229,上海银行,akshare,2026-08-29
2026-08-28,601238,广汽集团,akshare,2026-08-29
2026-08-28,601288,农业银行,akshare,2026-08-29
